name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake+AF8-prompt,intake1,intake2,hotline+AF8-prompt,hotline1,hotline2,website,dir+AF8-prefix,dir+AF8-first,dir+AF8-mi,dir+AF8-last,dir+AF8-suffix,dir+AF8-title,dir+AF8-phone,dir+AF8-fax,dir+AF8-email,mail+AF8-street1,mail+AF8-street2,mail+AF8-city,mail+AF8-state,mail+AF8-zip,mail+AF8-zip4,latitude,longitude,type+AF8-facility,last+AF8-update,adlt,chld,snr,yad,act,cdm,cm,coot,dec,es,fpsy,hs,icm,imr,ipc,lad,nrt,nsc,peer,prs,semp,sh,sps,stu,tcc,tpc,vrs,cit,wi,bmo,du,duo,mo,ih,lmg,osg,sma,tbg,vamc,fem,male,atr,clf,cmhg,csbg,ihs,mc,md,mi,np,osf,pi,scjj,sef,sf,si,smha,swfs,vaf,ghf,mhf,mhsaf,saf,pa,ss,cmhc,ct,hi,hid,hit,msnh,od,odt,oit,omb,omh,op,ores,ort,ph,psy,rd,res,rl,rs,rtca,rtcc,ad,adm,alz,bc,cj,co,dv,gl,hv,mf,mn,ped,ptsd,pw,se,sed,smi,tay,tbi,trma,vet,wn,xa,ah,fx,nx,sp,smon,smop,smpd,at,bmt,cbt,cft,dbt,ect,gt,idd,ipt,ptm,tele,tt,bu,dm,dt,hh,mh,mm,nxn,otpa,sa,vtrl
Catholic Community Services,,419 6th Street,,Juneau,AK,99801,,,907+AC0-463+AC0-6100,Intake,907+AC0-463+AC0-6180,,,,,http://www.ccsjuneau.org/,Ms,George,,Hieronymus,,Executive Director,,,,,,,,,,58.3037,+AC0-134.408,MH,3/5/2015 19:48:32,,1,,1,,,1,1,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,1,1,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,1,1,,,,1,1,1,,,1,1,1,,,1,,,,,1,,,,,
Behavorial Rehabilitation Servs Ctr,,216 Lance Drive,,Sitka,AK,99835,,Sitka,907+AC0-747+AC0-3687,Intake,907+AC0-747+AC0-2899,,,,,,,,,,,,,,,805 Lincoln Street,,Sitka,AK,99835,,57.049396,+AC0-135.301149,MH,3/5/2015 19:48:32,,1,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,1,1,1,,,1,1,1,,,1,,,,,1,,,,,
Kenai Peninsula Community Care Center,Emergency Shelter,320 South Spruce Street,,Kenai,AK,99611,,Kenai Peninsula,907+AC0-283+AC0-7635,Intakes,907+AC0-283+AC0-7635,907+AC0-283+AC0-7619,,,,www.kpccc.com,,Tammy,,Bidwell,,,,,,320 South Spruce Street,,Kenai,AK,99611,,60.556588,+AC0-151.270225,MH,3/5/2015 19:48:32,,1,,,1,,1,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,1,,1,,1,,,1,,,1,,,1,,,,,,,,,1,,,1,1,1,1,,,1,1,1,,,1,,,,,1,,,,,
South Peninsula Behav Health Services,The Center,3948 Ben Walters Lane,,Homer,AK,99603,,Kenai Peninsula,907+AC0-235+AC0-7701,Intake,907+AC0-235+AC0-7701,,,,,,,Dave,,Branding,,,,,,,,,,,,59.648155,+AC0-151.518014,MH,3/5/2015 19:48:32,1,1,1,1,,,1,,,,,,,,,,,,,1,,1,1,,,,,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Fairbanks Counseling and Adoption,,912 Barnette Street,,Fairbanks,AK,99701,,Fairbanks North Star,907+AC0-456+AC0-4729,Intake,907+AC0-456+AC0-4729,,,,,http://www.fcaalaska.org/,,Camille,,Connelly +AC0- Terhune,,,,,,P.O. Box  71544,,Fairbanks,AK,99701,,64.839353,+AC0-147.726928,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,1,1,1,1,,1,1,1,,,1,,,,,1,,,,,
Youth Advocates of Sitka,Therapeutic Forster Homes,805 Lincoln Street,,Sitka,AK,99835,,Sitka,907+AC0-747+AC0-3687,Intake,907+AC0-747+AC0-3687,,,,,,,Annette,,Becker,,,,,,,,,,,,57.050435,+AC0-135.323327,MH,3/5/2015 19:48:32,,1,,1,,,1,,,,1,,,,1,,,,,1,1,,1,,,1,1,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,1,1,1,,1,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,1,,1,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,1,,,,,1,,,,,
Kenai Peninsula Community Care Center,,320 South Spruce Street,,Kenai,AK,99611,,Kenai Peninsula,907+AC0-283+AC0-7635,Intakes,907+AC0-283+AC0-7635,907+AC0-283+AC0-7619,,,,http://www.kpccc.com,,Tammy,,Bidwell,,,,,,,,,,,,60.556588,+AC0-151.270225,MH,3/5/2015 19:48:32,,1,,,1,,1,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,1,,1,,1,,1,1,,,1,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,1,,,,,1,,,,,
Juneau Youth Services Inc,Wallington House,2461 Oday Drive,,Juneau,AK,99801,,Juneau,907+AC0-523+AC0-6518,Intakes,907+AC0-789+AC0-4733,877+AC0-597+AC0-4357,,,,,,Rick,,Driscoll,,,,,,P.O. Box 32839,,Juneau,AK,99803,,58.3684,+AC0-134.585,MH,3/5/2015 19:48:32,,1,,,,,1,,1,1,1,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,1,1,1,1,,1,1,1,,,1,,,,,1,,,,,
Youth Advocates of Sitka ,School Based Services,805 Lincoln Street,,Sitka,AK,99835,,Sitka,907 747 3687,,,,,,,,,Annette,R,becker,,,,,,,,,,,,57.050435,+AC0-135.323327,MH,3/5/2015 19:48:32,,1,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,1,,1,1,,,1,,1,,,,,,1,,,,1,,,1,1,1,1,1,,1,1,1,,,1,,,,,1,,,,,
North Star Palmer RTC,,3647 North Clark Wolverine Road,,Palmer,AK,99645,,Matanuska Susitna,907+AC0-761+AC0-7400,Intakes,907+AC0-761+AC0-7431,907+AC0-761+AC0-7400,,,,,,Sarah,,Skeel,,,,,,P.O. Box 1587,,Palmer,AK,99645,1587,61.623423,+AC0-149.067357,MH,3/5/2015 19:48:32,,1,,,,,1,,1,1,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,,1,1,,1,,,,,1,,,,,
